,AGRADECIMENTO,DESPEDIDA,FEEDBACK_NEGATIVO,PEDIDO_AJUDA,SAUDACAO
715,agradeço suporte tecnico,,A qualidade dos produtos nao esta satisfatoria,pode indicar soluçao,oi preciso de um conselho sobre um tema em particular
716,Obrigado por tudo,,qualidade produtos nao satisfatoria,gostaria de obter suporte,oi preciso conselho sobre tema particular
717,Muito obrigado pela gentileza,,A qualidade do produtos nao esta satisfatoria,gostaria obter suporte,oi alguem pode me dar uma orientaçao sobre um determinado assunto
718,Agradeço por toda a atençao,,Acredito que a manutençao realizada nao resolveu o problema,alguem tem alguma ideia,oi alguem pode dar orientaçao sobre determinado assunto
719,agradeço toda atençao,,acredito manutençao realizada nao resolveu problema,alguem alguma ideia,oi estou com dificuldades em entender algo alguem pode me ajudar
720,Agradeço a atençao,,Nao estou conseguindo resolver meu problema sozinho,como posso resolver isso,oi dificuldades entender algo alguem pode ajudar
721,Agradeço sua ajuda,,nao conseguindo resolver problema sozinho,posso resolver,oi preciso de assistencia para resolver um problema complicado
722,Obrigado pelo seu trabalho,,Nao estou gostando da qualidade das peças que estao sendo utilizadas para reparar o meu equipamento,alguem pode me dar um direcionamento,oi preciso assistencia resolver problema complicado
723,obrigado trabalho,,nao gostando qualidade peças estao sendo utilizadas reparar equipamento,alguem pode dar direcionamento,oi alguem pode me fornecer algumas dicas
724,Agradecido pela atençao dispensada,,Nao estou gostando da qualidade da peças que estao sendo utilizadas para reparar o meu equipamento,preciso de ajuda urgente,oi alguem pode fornecer algumas dicas
725,agradecido atençao dispensada,,Nao estou conseguindo encontrar uma soluçao para meu problema,preciso ajuda urgente,oi estou em busca de suporte tecnico para um problema especifico
726,Estou muito grato a,,nao conseguindo encontrar soluçao problema,pode me explicar como fazer,oi busca suporte tecnico problema especifico
727,grato,,Nao recebi suporte adequado quando entrei em contato anteriormente,pode explicar fazer,oi preciso de alguem que possa me explicar como proceder
728,agradeço por facilitar as coisas,,nao recebi suporte adequado entrei contato anteriormente,alguem tem experiencia nesse assunto,oi preciso alguem possa explicar proceder
729,obrigado por tornar as coisas mais faceis para mim,,Estou insatisfeito com o tempo que esta sendo levado para solucionar meu problema,alguem experiencia nesse assunto,oi alguem pode me ajudar a encontrar uma soluçao eficaz
730,obrigado por tornar as coisas mais simples para mim,,insatisfeito tempo sendo levado solucionar problema,pode me auxiliar,oi alguem pode ajudar encontrar soluçao eficaz
731,muito obrigado pela sua dedicaçao continua,,Nao concordei com a cobrança realizada,pode auxiliar,oi estou com algumas questoes e preciso de respostas rapidas
732,agradeço por ir alem das minhas expectativas,,nao concordei cobrança realizada,nao sei qual e a soluçao,oi algumas questoes preciso respostas rapidas
733,muito obrigado por sua ajuda valiosa e insights perspicazes,,Nao estou conseguindo utilizar minha maquina de forma adequada,nao sei soluçao,oi preciso de alguem que possa me orientar em relaçao a um desafio
734,obrigado por tornar tudo mais simples e compreensivel,,nao conseguindo utilizar maquina forma adequada,alguem pode me guiar,oi preciso alguem possa orientar relaçao desafio
735,,,Estou frustrado com a qualidade do suporte tecnico,alguem pode guiar,
736,,,frustrado qualidade suporte tecnico,estou com um problema complicado,
737,,,Nao estou satisfeito com o serviço prestado,problema complicado,
738,,,nao satisfeito serviço prestado,solicito a ajuda da equipe,
739,,,Estou irritado com a falta de profissionalismo no atendimento,solicito ajuda equipe,
740,,,irritado falta profissionalismo atendimento,preciso de orientaçoes,
741,,,Nao estou feliz com o descaso em relaçao ao meu problema,preciso orientaçoes,
742,,,nao feliz descaso relaçao problema,alguem ja passou por isso,
743,,,Estou com dificuldades para encontrar peças de reposiçao,alguem ja passou,
744,,,dificuldades encontrar peças reposiçao,pode me dar um conselho valioso,
745,,,Estou tendo dificuldades para encontrar peças de reposiçao para uma de minhas maquinas,pode dar conselho valioso,
746,,,tendo dificuldades encontrar peças reposiçao maquinas,estou em apuros,
747,,,Nao recebi o suporte necessario para soluçao do problema,apuros,
748,,,nao recebi suporte necessario soluçao problema,como posso resolver esse obstaculo,
749,,,Estou tendo dificuldades em encontrar peças para substituiçao,posso resolver obstaculo,
750,,,tendo dificuldades encontrar peças substituiçao,alguem sabe a resposta,
751,,,Aumento de custo devido a problemas constantes,alguem sabe resposta,
752,,,aumento custo devido problemas constantes,estou com dificuldades para resolver isso,
753,,,Nao estou feliz com a postura da empresa em relaçao ao meu caso,pode me ajudar a encontrar uma soluçao,
754,,,nao feliz postura empresa relaçao caso,pode ajudar encontrar soluçao,
755,,,Me sinto prejudicado pelo serviço prestado,estou com um problema,
756,,,Minha maquina esta produzindo abaixo da capacidade estimada,alguem pode me orientar,
757,,,maquina produzindo abaixo capacidade estimada,alguem pode orientar,
758,,,Nao estou contente com o resultado obtido,,
759,,,nao contente resultado obtido,,
760,,,Acho que a soluçao oferecida nao e a ideal,,
761,,,acho soluçao oferecida nao ideal,,
762,,,Minha maquina parou de funcionar do nada,,
763,,,maquina parou funcionar nada,,
764,,,Minha maquina esta causando prejuizos a minha produçao,,
765,,,maquina causando prejuizos produçao,,
766,,,Minha produçao esta parada por causa de problemas mecanicos,,
767,,,produçao parada causa problemas mecanicos,,
768,,,Estou desapontado com a falta de disponibilidade para atender o meu caso,,
769,,,desapontado falta disponibilidade atender caso,,
770,,,Nao acho que esta sendo levada em consideraçao minha opiniao,,
771,,,nao acho sendo levada consideraçao opiniao,,
772,,,Nao estou satisfeito com a quantidade de vezes que tive que entrar em contato para solucionar meu problema,,
773,,,nao satisfeito quantidade vezes entrar contato solucionar problema,,
774,,,Estou muito insatisfeito com o serviço prestado no meu equipamento,,
775,,,insatisfeito serviço prestado equipamento,,
776,,,Nao estou satisfeito com a qualidade do produto que recebi,,
777,,,nao satisfeito qualidade produto recebi,,
778,,,Nao estou conseguindo acessar o suporte tecnico,,
779,,,nao conseguindo acessar suporte tecnico,,
780,,,Problemas mecanicos causando atraso na produçao,,
781,,,problemas mecanicos causando atraso produçao,,
782,,,Nao recebi o suporte que esperava ter,,
783,,,nao recebi suporte esperava ter,,
784,,,As soluçoes oferecidas nao estao resolvendo meu problema,,
785,,,soluçoes oferecidas nao estao resolvendo problema,,
786,,,Nao estou satisfeito com a qualidade do serviço prestado,,
787,,,nao satisfeito qualidade serviço prestado,,
788,,,Estou frustrado com a dificuldade em resolver o meu problema,,
789,,,frustrado dificuldade resolver problema,,
790,,,Minha maquina esta ficando muito tempo parada por problemas,,
791,,,maquina ficando tempo parada problemas,,
792,,,Acho que o frete cobrado e muito alto,,
793,,,acho frete cobrado alto,,
794,,,Estou tendo problemas com minha linha de produçao,,
795,,,tendo problemas linha produçao,,
796,,,Estou tendo problemas com a produçao,,
797,,,tendo problemas produçao,,
798,,,Nao estou satisfeito com a durabilidade das peças da minha maquina,,
799,,,nao satisfeito durabilidade peças maquina,,
800,,,Nao estou satisfeito com a durabilidade da peças da minha maquina,,
801,,,Minha produçao esta parada por conta de um problema no sistema eletrico,,
802,,,produçao parada conta problema sistema eletrico,,
803,,,Nao estou contente com a falta de empatia por parte da equipe tecnica,,
804,,,nao contente falta empatia parte equipe tecnica,,
805,,,Estou insatisfeito com o atendimento tecnico que recebi,,
806,,,insatisfeito atendimento tecnico recebi,,
807,,,Estou descontente com o preço cobrado pelo serviço prestado,,
808,,,descontente preço cobrado serviço prestado,,
809,,,Estou desapontado com a falta de soluçao para o meu problema,,
810,,,desapontado falta soluçao problema,,
811,,,Nao estou gostando da maneira como o meu problema esta sendo tratado,,
812,,,nao gostando maneira problema sendo tratado,,
813,,,Nao estou feliz com a assistencia tecnica que recebi,,
814,,,nao feliz assistencia tecnica recebi,,
815,,,Estou tendo que lidar com muitos problemas tecnicos,,
816,,,tendo lidar muitos problemas tecnicos,,
817,,,Minha maquina esta apresentando falhas constantes,,
818,,,maquina apresentando falhas constantes,,
819,,,Prefiro trabalhar com outra empresa por conta dos problemas tecnicos,,
820,,,prefiro trabalhar outra empresa conta problemas tecnicos,,
821,,,Prefiro trabalhar com outra empresa por conta do problemas tecnicos,,
822,,,Minhas maquinas apresentam problemas frequentes,,
823,,,maquinas apresentam problemas frequentes,,
824,,,Estou tendo dificuldades para identificar o que esta causando um problema em uma de minhas maquinas,,
825,,,tendo dificuldades identificar causando problema maquinas,,
826,,,Minha maquina esta apresentando problemas que nao existiam antes,,
827,,,maquina apresentando problemas nao existiam antes,,
828,,,Minha maquina esta apresentando problemas que nao existiam ante,,
829,,,maquina apresentando problemas nao existiam ante,,
830,,,Nao estou contente com o atendimento que recebi,,
831,,,nao contente atendimento recebi,,
832,,,Nao estou vendo melhorias na minha situaçao,,
833,,,nao vendo melhorias situaçao,,
834,,,Estou cansado de ter que lidar com esses problemas tecnicos,,
835,,,cansado ter lidar problemas tecnicos,,
836,,,Estou cansado de ter que lidar com es problemas tecnicos,,
837,,,cansado ter lidar es problemas tecnicos,,
838,,,Estou cansado de ter que lidar com e problemas tecnicos,,
839,,,cansado ter lidar e problemas tecnicos,,
840,,,A qualidade do produto final nao esta atendendo minhas expectativas,,
841,,,qualidade produto final nao atendendo expectativas,,
842,,,Nao fui atendido de maneira adequada,,
843,,,nao atendido maneira adequada,,
844,,,Nao estou satisfeito com o atendimento tecnico que recebi,,
845,,,nao satisfeito atendimento tecnico recebi,,
846,,,Nao entendi as razoes para a soluçao proposta,,
847,,,nao entendi razoes soluçao proposta,,
848,,,Nao entendi a razoes para a soluçao proposta,,
849,,,Estou preocupado com a manutençao da minha maquina,,
850,,,preocupado manutençao maquina,,
851,,,Meu investimento nao esta valendo a pena devido aos problemas tecnicos,,
852,,,investimento nao valendo pena devido problemas tecnicos,,
853,,,Acho que o equipamento entregue nao atende as especificaçoes solicitadas,,
854,,,acho equipamento entregue nao atende especificaçoes solicitadas,,
855,,,Acho que o equipamento entregue nao atende a especificaçoes solicitadas,,
856,,,Minha maquina esta produzindo produtos com defeito,,
857,,,maquina produzindo produtos defeito,,
858,,,Estou desapontado com a maneira como meu problema foi tratado,,
859,,,desapontado maneira problema tratado,,
860,,,Minha empresa precisa de soluçoes adicionais para melhorar a segurança de nossos colaboradores,,
861,,,empresa precisa soluçoes adicionais melhorar segurança colaboradores,,
862,,,Nao estou satisfeito com a resposta que obtive sobre o meu problema,,
863,,,nao satisfeito resposta obtive sobre problema,,
864,,,Estou decepcionado com a soluçao proposta,,
865,,,decepcionado soluçao proposta,,
866,,,Nao estou conseguindo acessar as configuraçoes do meu equipamento,,
867,,,nao conseguindo acessar configuraçoes equipamento,,
868,,,Nao estou conseguindo acessar a configuraçoes do meu equipamento,,
869,,,Minha empresa esta sofrendo prejuizos por conta de falhas em produtos,,
870,,,empresa sofrendo prejuizos conta falhas produtos,,
871,,,Minha maquina esta apresentando barulhos estranhos,,
872,,,maquina apresentando barulhos estranhos,,
873,,,Problemas eletricos impactando minha produçao,,
874,,,problemas eletricos impactando produçao,,
875,,,Estou irritado com a pouca eficiencia do sistema de suporte tecnico,,
876,,,irritado pouca eficiencia sistema suporte tecnico,,
877,,,Nao vejo transparencia na forma como as coisas estao sendo resolvidas,,
878,,,nao vejo transparencia forma coisas estao sendo resolvidas,,
879,,,Nao vejo transparencia na forma como a coisas estao sendo resolvidas,,
880,,,Minha produçao esta parada por causa de problemas na maquina,,
881,,,produçao parada causa problemas maquina,,
882,,,Estou insatisfeito com o serviço prestado,,
883,,,Nao estou satisfeito com o funcionamento da minha maquina,,
884,,,nao satisfeito funcionamento maquina,,
885,,,Minha produçao esta ficando aquem do esperado,,
886,,,produçao ficando aquem esperado,,
887,,,Estou descontente com o prazo de entrega do produto,,
888,,,descontente prazo entrega produto,,
